a10,a11,a12,a13,a15,a3,a8,a9,label
f,0,t,g,0,17.75,0.0,t,0
f,0,t,g,4000,5.125,5.0,t,0
t,2,t,g,3,0.875,0.375,f,1
f,0,f,g,0,4.415,3.0,t,0
t,3,t,g,150,0.75,4.25,t,0
t,10,t,g,0,4.415,0.25,t,0
f,0,t,s,0,6.625,5.5,t,0
f,0,t,g,1000,4.0,1.0,f,1
t,2,f,g,7,5.125,4.75,t,0
t,2,f,g,5552,12.625,0.125,f,0
f,0,f,g,1,2.04,1.5,f,1
f,0,t,g,10561,16.5,11.0,t,0
t,11,t,g,35,1.5,2.0,t,1
f,0,f,g,1,0.835,0.0,t,1
t,10,t,g,0,5.0,3.5,t,0
f,0,t,g,251,0.75,0.165,f,1
f,0,t,g,0,0.585,0.585,t,0
f,0,f,g,13,10.25,1.085,f,1
f,0,t,g,2,0.75,0.75,f,1
t,11,t,g,284,6.75,2.625,t,0
f,0,f,g,4,3.0,1.5,f,1
t,8,f,g,375,0.29,1.75,t,0
t,2,f,g,1,14.0,0.0,f,1
f,0,f,s,0,0.335,0.29,f,1
f,0,f,g,0,7.0,1.0,f,1
f,0,f,g,1058,3.165,0.165,f,1
f,0,t,s,0,0.75,0.5,f,1
f,0,t,g,0,1.54,0.125,t,0
t,3,f,g,33,1.375,0.04,f,1
t,4,f,g,540,9.25,1.21,t,0
f,0,t,g,6,4.5,1.0,f,1
t,1,f,g,1,7.25,0.04,f,1
f,0,t,g,1110,13.0,0.0,f,1
t,3,f,g,1000,0.54,0.5,t,0
t,3,f,g,33,1.375,0.04,f,1
t,1,t,g,18027,3.04,2.04,t,0
f,0,f,g,1,3.0,7.0,f,1
f,0,f,g,0,13.0,0.5,f,1
f,0,t,g,1212,11.46,1.585,f,0
t,11,t,g,284,6.75,2.625,t,0
t,8,t,g,4159,3.0,2.375,t,0
f,0,f,s,0,5.625,1.71,t,0
t,3,f,g,14,25.085,1.75,t,0
t,6,f,g,0,2.75,4.25,t,0
t,9,f,g,396,10.04,0.04,t,0
f,0,t,g,6,4.5,1.0,f,1
f,0,f,s,0,12.0,16.0,t,0
f,0,f,g,1004,0.585,0.04,f,1
t,1,t,g,18027,3.04,2.04,t,0
f,0,t,s,0,0.375,10.0,f,1
f,0,t,g,2,3.29,0.335,f,1
f,0,f,g,200,1.5,1.415,t,1
t,4,f,g,1950,0.875,0.085,f,0
f,0,f,g,0,0.125,0.165,f,1
t,1,t,g,80,3.165,0.415,f,1
t,11,f,g,456,1.0,2.0,t,0
f,0,t,s,0,0.5,0.085,f,1
t,1,f,g,768,0.125,1.0,f,1
f,0,f,g,16,2.5,1.0,f,1
f,0,f,g,0,9.96,0.0,t,0
t,4,f,g,7544,2.0,1.0,t,0
f,0,f,g,0,11.0,0.665,t,0
f,0,f,g,0,1.25,1.75,f,1
t,2,f,g,300,2.0,1.5,t,0
t,2,t,g,551,11.75,0.5,t,0
t,15,t,g,5000,7.585,7.585,t,0
t,1,f,g,19,12.0,2.0,t,0
f,0,t,s,0,1.29,0.25,f,1
f,0,t,s,0,0.165,2.25,f,1
f,0,f,g,17,2.0,2.0,f,1
f,0,f,s,0,0.5,10.75,t,1
t,6,t,g,347,0.46,2.625,t,1
f,0,f,s,0,0.5,0.25,t,1
t,11,t,g,2184,2.5,1.085,t,0
f,0,t,g,1,0.54,1.0,f,1
t,8,t,g,3290,0.83,1.335,t,0
f,0,t,g,4,4.25,5.0,f,1
t,2,t,g,108,1.25,0.25,f,1
t,11,t,g,2184,2.5,1.085,t,0
t,2,f,g,0,1.125,1.29,t,0
f,0,t,g,0,11.0,3.0,t,1
f,0,f,g,50,4.25,3.5,f,1
f,0,t,g,0,2.54,0.25,t,0
t,8,t,g,7,5.04,1.5,t,0
f,0,t,g,0,0.165,0.04,f,1
f,0,t,g,40,3.0,0.04,f,1
f,0,f,p,0,2.165,1.5,f,1
f,0,f,p,0,0.0,0.0,f,0
t,6,t,g,0,5.0,5.0,t,0
f,0,f,g,1,0.585,0.125,f,1
t,3,t,g,582,1.5,2.375,t,0
f,0,f,g,0,1.5,0.0,f,1
f,0,t,g,0,2.5,7.5,t,1
t,3,f,g,6,3.0,0.165,t,0
t,12,t,g,567,12.5,1.5,t,0
f,0,f,g,0,10.125,0.125,f,1
t,2,t,g,41,3.085,2.5,f,1
f,0,f,g,20,3.0,0.0,f,1
f,0,t,g,639,3.25,9.0,t,0
t,12,t,g,3,10.665,0.085,f,1
f,0,f,s,0,1.5,0.04,f,1
t,4,f,g,540,9.25,1.21,t,0
t,20,f,g,15000,0.29,15.0,t,0
t,2,t,g,2000,0.875,4.625,t,0
t,2,t,g,1,0.165,1.0,f,1
f,0,t,g,251,0.75,0.165,f,1
f,0,f,g,5200,11.25,0.0,f,0
f,0,f,g,0,11.0,0.665,t,0
f,0,t,g,0,4.0,2.5,t,1
t,16,f,g,2079,1.46,1.085,t,0
t,40,f,g,15,28.0,28.5,t,0
f,0,t,g,67,3.0,0.75,f,1
f,0,f,s,0,3.5,0.5,f,1
t,2,f,g,444,12.75,4.75,t,0
f,0,f,s,0,1.5,2.0,t,1
f,0,t,g,0,1.54,0.125,t,0
f,0,f,g,687,5.5,5.0,f,0
f,0,t,g,55,0.46,0.125,f,1
t,8,t,g,4159,3.0,2.375,t,0
t,1,t,g,20,1.71,1.665,t,0
f,0,f,g,0,2.085,0.085,f,1
t,19,f,g,500,3.0,1.835,t,0
f,0,t,g,0,3.375,8.29,f,1
t,11,f,g,99,0.21,0.29,t,0
f,0,t,g,0,3.165,3.75,t,1
f,0,f,g,0,13.5,0.0,f,1
f,0,f,g,0,2.25,0.75,t,1
f,0,f,g,0,4.415,3.0,t,0
t,1,t,g,9,0.75,1.585,f,1
f,0,f,g,960,4.0,0.0,t,1
t,1,t,g,0,4.25,4.29,t,0
f,0,t,g,0,2.54,0.25,t,0
t,10,t,g,0,5.0,3.5,t,0
f,0,f,g,100,6.5,0.125,f,1
t,5,f,g,146,2.835,0.0,f,1
t,2,f,g,5000,13.5,5.0,t,0
f,0,f,g,4,3.0,1.5,f,1
t,4,f,g,321,11.25,0.75,t,0
t,1,f,g,768,0.125,1.0,f,1
f,0,t,g,0,0.165,0.04,f,1
t,11,f,g,1249,10.0,0.0,t,0
f,0,f,g,87,0.585,0.125,f,1
t,10,t,g,0,5.0,3.5,t,0
f,0,t,g,0,1.125,1.5,f,1
t,1,t,g,59,0.54,0.04,t,0
f,0,f,g,316,1.625,1.5,f,1
f,0,f,g,0,16.5,4.0,t,1
f,0,f,g,0,1.25,0.25,f,1
t,12,t,g,713,1.585,1.835,t,0
f,0,f,g,824,0.5,1.5,t,0
f,0,f,g,0,7.0,0.5,f,1
t,7,t,g,4071,1.0,0.75,t,0
t,11,f,g,456,1.0,2.0,t,0
f,0,t,g,0,1.0,1.75,t,1
f,0,t,g,0,3.0,0.165,f,1
f,0,t,g,225,1.5,1.5,t,1
t,11,t,g,0,11.5,0.0,t,0
t,3,f,g,147,1.04,0.5,t,1
f,0,f,p,0,0.0,0.0,f,0
t,1,f,g,53,1.835,0.0,f,1
f,0,t,g,5860,0.875,1.04,t,0
t,8,f,g,375,0.29,1.75,t,0
f,0,t,g,0,4.085,0.415,f,1
f,0,f,g,0,0.125,0.165,f,1
f,0,f,g,0,9.96,0.0,t,0
f,0,f,g,0,0.75,0.04,f,1
f,0,f,g,0,0.585,0.0,f,1
f,0,f,g,722,0.085,0.04,f,1
f,0,t,g,0,4.085,0.415,f,1
f,0,f,g,0,1.0,0.5,f,1
f,0,t,g,228,6.5,1.0,f,1
f,0,f,g,0,0.04,0.04,f,1
f,0,f,g,0,2.25,0.75,t,1
f,0,f,g,0,1.585,0.0,t,1
t,14,f,g,3376,15.0,0.0,t,0
t,5,f,g,26726,7.5,2.71,t,0
f,0,f,p,0,0.0,0.0,f,0
f,0,f,g,0,2.165,0.0,f,1
f,0,t,g,4000,5.125,5.0,t,0
t,1,f,g,678,0.5,1.25,t,0
f,0,f,g,18,0.375,1.0,f,1
f,0,f,g,0,1.25,0.25,f,1
t,7,t,g,5124,0.58,0.29,t,0
f,0,f,g,0,7.0,3.0,f,1
t,1,f,g,892,0.75,2.75,t,0
t,2,f,g,0,0.585,1.5,t,0
t,1,t,g,50,10.335,0.335,t,1
f,0,f,g,0,2.875,0.085,f,1
f,0,f,g,5200,11.25,0.0,f,0
t,11,f,g,3000,11.0,1.0,t,0
t,1,f,g,6,9.0,4.0,f,1
f,0,f,g,0,15.5,0.5,t,1
t,3,f,g,300,4.46,6.04,t,0
t,2,t,g,1,3.25,5.085,f,1
f,0,t,g,0,12.335,1.585,t,1
f,0,t,g,0,2.25,10.0,t,1
t,1,f,g,444,0.54,0.165,f,1
f,0,t,g,400,9.5,1.0,t,1
t,2,t,g,394,0.75,2.0,f,0
f,0,t,g,1,3.54,0.0,f,1
t,9,f,g,827,1.665,5.085,t,0
f,0,t,g,2,0.75,0.75,f,1
f,0,t,g,0,4.165,0.085,f,1
t,5,f,g,146,2.835,0.0,f,1
t,3,t,g,0,3.165,3.165,t,0
f,0,t,g,0,3.0,0.165,f,1
t,1,f,g,500,6.5,3.5,t,0
f,0,f,s,0,1.5,2.0,t,1
f,0,t,g,0,1.75,1.25,f,1
t,9,f,g,396,10.04,0.04,t,0
t,3,f,g,769,0.585,0.0,f,0
t,15,t,g,1000,14.5,18.0,t,0
f,0,t,g,0,11.0,3.0,t,1
f,0,t,s,0,0.75,0.5,t,1
f,0,f,g,44,0.415,0.125,f,1
f,0,t,g,0,2.5,7.5,t,1
f,0,f,g,0,1.0,0.5,f,1
f,0,f,g,687,5.5,5.0,f,0
f,0,f,g,364,0.29,0.29,f,1
t,8,t,g,162,0.375,0.375,t,0
t,9,f,g,742,11.5,3.5,t,0
f,0,f,g,0,6.75,0.04,f,1
t,2,t,g,1,3.25,5.085,f,1
f,0,f,g,0,1.54,0.125,f,1
t,6,t,g,1332,7.04,14.0,t,0
f,0,t,g,0,0.75,3.5,f,1
f,0,t,g,0,0.75,3.5,f,1
f,0,f,g,1349,11.585,0.04,t,0
t,1,f,g,0,2.71,5.25,t,0
f,0,t,g,0,2.71,2.415,f,1
f,0,f,g,0,0.79,0.665,f,1
t,2,f,g,500,0.705,0.375,f,1
f,0,f,g,0,5.0,0.21,f,1
t,1,t,g,5,0.54,1.75,f,1
t,1,f,g,1187,2.125,0.085,t,0
f,0,t,g,0,4.0,12.5,t,1
f,0,f,g,0,1.0,0.5,f,1
f,0,f,g,0,15.5,0.5,t,1
f,0,f,g,0,0.0,0.085,t,1
f,0,f,g,0,1.335,0.165,f,1
f,0,t,g,0,2.335,5.75,f,1
f,0,t,g,16,11.5,3.0,f,1
t,3,f,g,33,1.375,0.04,f,1
f,0,t,g,0,2.71,2.415,f,1
t,3,t,g,560,2.04,2.0,t,0
f,0,f,g,0,7.0,3.0,f,1
f,0,f,g,0,1.75,0.0,f,1
f,0,t,s,0,2.5,10.0,f,0
f,0,t,s,0,0.165,0.25,f,1
t,4,f,g,0,0.375,0.585,t,0
f,0,f,g,960,4.0,0.0,t,1
t,5,t,g,0,1.71,0.125,t,0
f,0,f,g,40,0.165,0.21,f,1
f,0,t,g,55,0.46,0.125,f,1
f,0,f,g,50,4.25,3.5,f,1
t,1,t,g,11,0.83,0.415,f,1
t,1,t,g,3,1.5,2.25,f,1
f,0,t,g,0,0.165,0.04,f,1
t,1,f,g,98,1.25,0.25,f,1
f,0,f,g,0,4.415,3.0,t,0
f,0,f,g,0,0.75,0.04,f,1
f,0,t,g,1,3.54,0.0,f,1
f,0,t,g,1,1.75,0.0,f,1
t,2,t,g,2000,0.875,4.625,t,0
f,0,t,s,0,4.0,5.0,t,1
t,9,t,g,134,15.0,5.375,t,0
f,0,f,g,0,0.5,1.0,f,1
f,0,t,g,55,0.46,0.125,f,1
f,0,t,g,2028,12.5,8.0,t,0
t,2,f,g,1,14.0,0.0,f,1
f,0,f,g,0,1.25,0.25,f,1
t,3,f,g,0,6.0,1.0,t,0
t,3,f,g,15108,0.375,0.25,t,0
f,0,t,g,0,4.165,0.085,f,1
f,0,f,g,42,10.0,0.415,f,1
t,3,t,g,0,0.875,0.96,t,0
f,0,t,g,0,1.75,1.25,f,1
f,0,t,g,251,0.75,0.165,f,1
t,1,t,g,5,0.54,1.75,f,1
f,0,t,g,0,4.0,0.085,f,1
t,1,f,g,0,5.29,0.375,t,1
t,2,f,g,18,8.125,0.165,f,1
f,0,f,g,0,0.79,0.665,f,1
f,0,f,g,456,2.5,4.5,f,1
f,0,f,g,0,1.75,0.0,f,1
f,0,f,g,10,2.25,0.125,f,1
f,0,t,g,0,10.5,3.0,t,0
t,1,t,g,2000,8.5,14.0,t,0
f,0,t,g,2028,12.5,8.0,t,0
f,0,t,s,0,0.75,0.5,t,1
f,0,t,s,0,0.5,0.835,t,1
t,4,f,g,1583,0.915,0.75,t,0
f,0,t,g,0,3.0,7.415,t,1
f,0,t,g,0,4.0,0.25,t,0
f,0,t,g,0,9.0,5.25,t,0
t,1,f,g,0,5.29,0.375,t,1
f,0,f,g,1058,3.165,0.165,f,1
t,3,t,g,0,3.165,3.165,t,0
f,0,t,g,0,9.0,5.25,t,0
f,0,t,g,0,17.75,0.0,t,0
f,0,f,g,0,7.0,0.5,f,1
f,0,t,g,0,3.5,0.5,f,1
t,3,t,g,0,0.875,0.96,t,0
f,0,f,g,140,0.375,0.29,f,1
f,0,f,p,0,0.0,0.0,f,0
f,0,f,g,1210,4.5,2.5,f,0
t,5,t,g,5777,1.75,1.0,t,0
t,8,t,g,7,5.04,1.5,t,0
f,0,f,g,0,1.585,0.0,t,1
t,3,f,g,0,6.0,1.0,t,0
f,0,f,g,0,2.5,0.5,f,1
f,0,f,g,0,1.54,3.5,f,1
f,0,f,g,17,2.0,2.0,f,1
f,0,f,p,0,0.0,0.0,f,0
f,0,t,g,0,1.0,1.75,t,1
t,2,t,g,551,11.75,0.5,t,0
t,10,f,g,4700,1.625,1.5,t,0
f,0,f,g,1004,0.585,0.04,f,1
t,2,f,g,18,8.125,0.165,f,1
f,0,f,g,16,2.5,1.0,f,1
t,2,t,g,108,1.25,0.25,f,1
f,0,t,g,68,11.5,0.5,t,1
f,0,t,g,1065,1.5,0.375,t,0
t,2,t,g,15,2.0,1.75,t,0
t,1,f,g,300,6.21,0.04,t,1
f,0,f,g,10,2.25,0.125,f,1
f,0,t,s,0,1.585,0.585,f,1
f,0,t,g,639,3.25,9.0,t,0
t,8,f,g,0,9.79,7.96,t,0
f,0,f,s,0,12.0,16.0,t,0
t,10,f,g,990,8.5,1.75,t,0
f,0,t,g,0,0.165,0.04,f,1
f,0,f,g,0,12.75,5.0,t,1
t,2,f,g,18,8.125,0.165,f,1
f,0,f,g,0,7.0,0.5,f,1
t,3,t,g,150,0.75,4.25,t,0
f,0,f,g,0,1.335,0.165,f,1
t,9,f,g,730,16.165,3.0,t,0
t,14,f,g,2200,15.0,5.5,t,0
f,0,f,g,3552,18.125,0.085,f,0
t,10,t,g,10,9.5,1.75,f,1
f,0,f,g,0,0.79,0.665,f,1
f,0,f,g,0,0.5,0.125,f,1
f,0,f,g,50,4.25,3.5,f,1
t,1,t,g,68,4.75,2.0,f,1
t,14,f,g,158,8.17,1.96,t,0
f,0,f,g,0,0.54,0.0,f,1
f,0,f,g,0,1.0,0.5,f,1
f,0,f,g,0,0.585,0.0,f,1
t,1,t,g,59,0.54,0.04,t,0
f,0,t,g,0,1.5,2.5,t,1
f,0,t,g,0,4.085,0.415,f,1
f,0,f,g,87,0.585,0.125,f,1
t,9,f,g,396,10.04,0.04,t,0
t,2,t,g,500,1.0,1.0,t,0
f,0,t,g,40,3.0,0.04,f,1
t,1,t,g,21,3.25,2.29,f,1
t,1,f,g,0,3.04,2.54,t,0
t,1,f,g,100,1.415,0.75,t,1
f,0,f,g,0,0.205,5.125,t,0
f,0,f,g,0,5.0,0.0,f,1
t,6,f,g,200,3.75,0.0,f,1
t,7,t,g,0,4.04,8.5,t,0
f,0,t,g,0,9.0,5.25,t,0
t,2,t,g,3,0.875,0.375,f,1
f,0,t,g,16,11.5,3.0,f,1
t,1,t,g,59,0.54,0.04,t,0
f,0,t,g,0,5.5,1.5,f,1
f,0,t,g,0,1.0,1.75,t,1
f,0,f,g,375,10.415,0.125,t,1
f,0,t,g,200,2.5,0.0,t,1
f,0,t,g,0,1.125,1.5,f,1
f,0,t,s,1,0.0,0.0,f,1
t,2,t,g,0,0.375,2.0,t,0
f,0,t,g,0,0.5,0.875,t,0
f,0,t,g,6,5.25,0.085,f,0
t,20,f,g,15000,0.29,15.0,t,0
t,2,f,g,38,5.0,0.375,t,0
t,1,t,g,160,7.625,0.125,f,1
t,10,f,g,4700,1.625,1.5,t,0
f,0,t,g,2,0.75,0.75,f,1
f,0,t,g,0,10.5,3.0,t,0
f,0,f,g,20,3.0,0.0,f,1
t,6,t,g,0,13.915,8.625,t,0
f,0,f,s,0,6.0,0.0,f,1
t,1,f,g,283,0.79,0.29,f,1
t,2,t,g,3,0.875,0.375,f,1
f,0,f,g,0,9.75,0.25,t,0
f,0,t,s,0,1.585,0.585,f,1
t,9,f,g,396,10.04,0.04,t,0
t,2,f,g,7,5.125,4.75,t,0
f,0,t,g,400,9.5,1.0,t,1
f,0,t,g,2028,12.5,8.0,t,0
f,0,f,g,0,1.25,3.25,f,1
f,0,f,s,0,2.71,0.085,f,1
f,0,t,g,228,6.5,1.0,f,1
t,2,f,g,500,0.585,0.25,t,0
f,0,f,g,150,8.665,1.415,t,1
t,20,f,g,15000,0.29,15.0,t,0
f,0,f,g,23,0.75,0.25,t,0
f,0,f,g,4,3.0,1.5,f,1
t,1,f,g,0,3.04,2.54,t,0
f,0,t,g,0,1.5,2.5,t,1
f,0,f,g,390,1.665,0.25,f,1
f,0,f,g,140,0.375,0.29,f,1
f,0,f,g,1,0.625,0.125,t,1
t,2,f,g,18,8.125,0.165,f,1
t,67,t,g,258,12.5,1.21,t,0
f,0,f,s,0,10.0,2.5,t,0
t,5,t,g,5,0.75,0.795,t,0
f,0,t,g,0,1.54,0.085,f,1
t,1,t,g,11,0.83,0.415,f,1
f,0,t,s,1,0.0,0.0,f,1
t,1,f,g,6,9.0,4.0,f,1
t,6,t,g,347,0.46,2.625,t,1
f,0,f,g,0,0.04,0.04,f,1
f,0,f,g,0,16.5,4.0,t,1
f,0,t,s,0,1.585,0.585,f,1
f,0,t,g,0,2.5,7.5,t,1
t,1,t,g,4,0.71,0.25,f,1
f,0,f,g,2100,0.125,0.085,f,0
f,0,f,p,0,0.0,0.0,f,0
t,11,f,g,1200,21.5,20.0,t,0
f,0,f,s,0,11.0,1.5,t,1
t,2,t,g,0,2.5,1.75,f,1
f,0,t,g,0,6.0,1.0,t,0
f,0,f,g,537,1.0,3.0,f,1
t,2,t,g,15,2.0,1.75,t,0
f,0,t,g,0,1.625,0.54,f,1
t,13,f,g,6700,21.0,10.0,t,0
t,2,t,g,500,1.0,1.0,t,0
t,1,f,g,800,3.0,1.29,t,0
f,0,t,s,0,0.415,0.335,f,1
t,2,f,g,351,19.0,0.04,f,1
t,2,f,g,38,5.0,0.375,t,0
t,8,f,g,1200,6.5,3.125,t,0
t,1,f,g,6,3.125,0.085,f,1
t,8,t,g,4159,3.0,2.375,t,0
f,0,f,g,0,9.54,0.085,t,0
t,1,f,g,126,0.335,0.0,f,1
f,0,f,s,0,0.335,0.29,f,1
f,0,t,g,0,4.0,12.5,t,1
t,6,f,g,0,1.585,3.085,t,0
f,0,f,g,350,9.585,0.79,f,1
t,8,t,g,1,3.0,1.085,t,0
f,0,t,g,0,3.79,1.165,t,1
t,9,t,g,0,13.0,5.165,t,0
f,0,t,g,0,6.5,0.125,t,0
t,4,f,g,8,0.25,0.335,f,1
t,15,t,g,5000,7.585,7.585,t,0
t,10,f,g,245,5.875,3.17,t,0
f,0,t,s,0,0.5,0.085,f,1
t,11,f,s,0,0.0,1.0,f,1
f,0,t,g,122,1.5,0.25,f,1
t,3,f,g,6,3.0,0.165,t,0
f,0,f,g,0,1.54,3.5,f,1
f,0,f,s,0,1.71,0.165,f,1
f,0,f,g,16,2.5,1.0,f,1
f,0,t,g,200,2.75,2.5,f,1
f,0,t,g,475,13.335,0.04,f,1
f,0,t,g,1065,1.5,0.375,t,0
t,7,f,g,0,8.585,0.75,t,0
t,14,t,g,0,5.875,10.0,t,0
t,1,t,g,0,5.5,13.0,t,0
t,1,f,g,6,9.0,4.0,f,1
f,0,f,p,0,0.0,0.0,f,0
t,11,f,g,3000,11.0,1.0,t,0
t,11,f,g,3000,11.0,1.0,t,0
f,0,t,g,0,1.625,0.54,f,1
f,0,f,g,5,0.665,1.665,f,1
f,0,f,g,3000,0.04,0.04,t,0
t,1,f,g,768,0.125,1.0,f,1
f,0,t,g,0,4.165,0.085,f,1
f,0,f,g,3,2.29,0.29,f,1
f,0,t,g,0,5.04,12.75,t,1
t,8,f,g,0,9.79,7.96,t,0
t,2,f,g,610,4.25,3.25,t,0
f,0,t,g,0,4.0,2.5,t,1
t,12,t,g,2510,2.5,2.5,t,0
t,3,f,g,0,8.5,7.0,t,0
f,0,f,g,0,0.0,0.085,t,1
t,3,f,g,6,3.0,0.165,t,0
t,7,t,g,809,11.0,2.5,t,0
f,0,f,g,195,1.25,0.25,f,1
t,1,t,g,500,25.125,1.625,t,0
t,7,t,g,0,10.5,5.0,t,0
t,1,f,g,1,7.25,0.04,f,1
f,0,f,g,0,0.0,0.0,f,1
t,1,f,g,1,7.25,0.04,f,1
t,7,f,g,3065,5.0,5.0,t,0
f,0,t,g,0,0.75,1.5,f,1
f,0,f,g,1058,3.165,0.165,f,1
f,0,f,g,0,1.54,3.5,f,1
f,0,t,g,0,5.04,12.75,t,1
f,0,t,g,0,13.585,8.5,t,0
f,0,t,g,0,3.0,7.415,t,1
f,0,t,g,0,5.5,1.5,f,1
f,0,f,p,0,0.0,0.0,f,0
f,0,f,g,5,11.665,0.085,f,1
t,2,t,g,41,3.085,2.5,f,1
f,0,f,g,0,2.75,0.0,f,1
f,0,t,g,0,10.5,3.0,t,0
t,11,t,g,35,1.5,2.0,t,1
t,1,f,g,6,3.125,0.085,f,1
f,0,t,g,0,0.75,3.5,f,1
f,0,f,g,5,11.665,0.085,f,1
t,3,t,g,2279,4.0,5.0,t,0
f,0,f,g,0,1.54,0.125,f,1
f,0,f,g,537,1.0,3.0,f,1
f,0,t,g,0,5.0,13.5,t,1
t,8,f,g,375,0.29,1.75,t,0
f,0,t,g,0,2.5,1.25,f,1
f,0,f,g,0,1.75,0.165,f,1
t,20,f,g,15000,0.29,15.0,t,0
f,0,t,g,100,1.375,9.46,t,1
f,0,f,g,100,4.125,0.04,f,1
f,0,f,g,2690,6.04,0.04,f,0
t,14,f,g,3376,15.0,0.0,t,0
t,2,f,g,5552,12.625,0.125,f,0
t,1,f,g,0,19.0,0.0,t,1
f,0,t,g,0,3.165,3.75,t,1
f,0,t,s,0,0.75,0.5,t,1
t,9,f,g,827,1.665,5.085,t,0
f,0,f,g,0,11.0,4.5,t,1
f,0,f,s,0,12.0,16.0,t,0
t,3,t,g,0,6.665,7.375,t,0
t,1,f,g,126,0.335,0.0,f,1
f,0,f,g,0,2.165,0.0,f,1
f,0,t,g,4000,2.25,0.5,f,0
t,5,t,g,3,1.54,3.75,t,0
t,7,t,g,5124,0.58,0.29,t,0
f,0,f,g,722,0.085,0.04,f,1
f,0,f,g,2,3.75,1.0,f,1
t,1,f,g,90,25.21,0.21,t,1
f,0,t,s,27,0.165,0.0,f,1
t,5,t,g,500,5.29,2.25,t,0
t,14,f,g,2200,15.0,5.5,t,0
t,4,t,g,0,12.25,1.25,t,0
t,6,f,g,200,3.75,0.0,f,1
f,0,t,g,0,0.5,5.0,t,1
f,0,f,g,1,0.0,0.665,f,1
t,9,f,g,730,16.165,3.0,t,0
f,0,f,g,0,3.5,0.165,f,1
t,8,f,g,0,4.04,7.0,t,0
t,7,t,g,4071,1.0,0.75,t,0
t,7,t,g,0,10.5,5.0,t,0
t,4,t,g,500,9.25,1.0,t,0
t,11,t,g,6,0.46,0.415,t,0
f,0,f,g,42,10.0,0.415,f,1
f,0,f,g,3,2.29,0.29,f,1
t,3,t,g,0,1.5,5.5,t,0
t,17,t,g,0,18.5,15.0,t,0
f,0,t,g,4,4.25,5.0,f,1
t,3,t,g,50,7.08,6.75,t,0
f,0,f,g,0,10.085,1.25,f,1
t,6,t,g,1332,7.04,14.0,t,0
f,0,t,g,0,1.0,0.125,f,1
f,0,f,g,25,2.75,4.5,f,1
f,0,t,g,0,2.0,0.75,f,1
f,0,f,g,44,0.415,0.125,f,1
t,14,f,g,158,8.17,1.96,t,0
f,0,t,g,200,2.75,2.5,f,1
t,9,f,g,827,1.665,5.085,t,0
t,3,f,g,0,8.5,7.0,t,0
f,0,f,g,0,0.79,0.085,f,1
f,0,f,g,1,0.0,0.665,f,1
t,14,f,g,3376,15.0,0.0,t,0
f,0,f,g,0,0.5,0.125,f,1
f,0,t,g,117,0.835,0.5,f,1
t,7,f,g,3000,19.5,5.5,t,0
f,0,t,g,122,1.5,0.25,f,1
t,4,f,g,0,0.375,0.585,t,0
f,0,f,g,0,10.085,1.25,f,1
t,6,t,g,35,0.5,0.165,f,1
t,2,t,g,0,2.0,4.165,t,0
t,40,f,g,15,28.0,28.5,t,0
t,10,t,g,0,5.0,3.5,t,0
f,0,f,g,0,0.585,0.085,t,1
